date,value,id
2024-04-01,68,rioverde_rua10
2024-04-02,83,rioverde_rua10
2024-04-03,31,rioverde_rua10
2024-04-04,54,rioverde_rua10
2024-04-05,98,rioverde_rua10
2024-04-06,73,rioverde_rua10
2024-04-07,87,rioverde_rua10
2024-04-08,96,rioverde_rua10
2024-04-09,34,rioverde_rua10
2024-04-10,35,rioverde_rua10
2024-04-11,16,rioverde_rua10
2024-04-12,90,rioverde_rua10
2024-04-13,19,rioverde_rua10
2024-04-14,6,rioverde_rua10
2024-04-15,21,rioverde_rua10
2024-04-16,21,rioverde_rua10
2024-04-17,51,rioverde_rua10
2024-04-18,66,rioverde_rua10
2024-04-19,77,rioverde_rua10
2024-04-20,77,rioverde_rua10
2024-04-21,37,rioverde_rua10
2024-04-22,43,rioverde_rua10
2024-04-23,30,rioverde_rua10
2024-04-24,85,rioverde_rua10
2024-04-25,44,rioverde_rua10
2024-04-26,55,rioverde_rua10
2024-04-27,29,rioverde_rua10
2024-04-28,72,rioverde_rua10
2024-04-29,69,rioverde_rua10
2024-04-30,19,rioverde_rua10
