date,value,id
2024-04-01,3,rioverde_rua15
2024-04-02,68,rioverde_rua15
2024-04-03,0,rioverde_rua15
2024-04-04,67,rioverde_rua15
2024-04-05,55,rioverde_rua15
2024-04-06,42,rioverde_rua15
2024-04-07,71,rioverde_rua15
2024-04-08,77,rioverde_rua15
2024-04-09,21,rioverde_rua15
2024-04-10,48,rioverde_rua15
2024-04-11,55,rioverde_rua15
2024-04-12,52,rioverde_rua15
2024-04-13,24,rioverde_rua15
2024-04-14,22,rioverde_rua15
2024-04-15,23,rioverde_rua15
2024-04-16,57,rioverde_rua15
2024-04-17,63,rioverde_rua15
2024-04-18,31,rioverde_rua15
2024-04-19,5,rioverde_rua15
2024-04-20,55,rioverde_rua15
2024-04-21,35,rioverde_rua15
2024-04-22,65,rioverde_rua15
2024-04-23,82,rioverde_rua15
2024-04-24,92,rioverde_rua15
2024-04-25,31,rioverde_rua15
2024-04-26,40,rioverde_rua15
2024-04-27,72,rioverde_rua15
2024-04-28,30,rioverde_rua15
2024-04-29,51,rioverde_rua15
2024-04-30,54,rioverde_rua15
