date,value,id
2024-04-01,12,rioverde_rua1
2024-04-02,63,rioverde_rua1
2024-04-03,66,rioverde_rua1
2024-04-04,59,rioverde_rua1
2024-04-05,54,rioverde_rua1
2024-04-06,59,rioverde_rua1
2024-04-07,55,rioverde_rua1
2024-04-08,52,rioverde_rua1
2024-04-09,19,rioverde_rua1
2024-04-10,21,rioverde_rua1
2024-04-11,23,rioverde_rua1
2024-04-12,46,rioverde_rua1
2024-04-13,33,rioverde_rua1
2024-04-14,55,rioverde_rua1
2024-04-15,33,rioverde_rua1
2024-04-16,64,rioverde_rua1
2024-04-17,53,rioverde_rua1
2024-04-18,81,rioverde_rua1
2024-04-19,21,rioverde_rua1
2024-04-20,55,rioverde_rua1
2024-04-21,60,rioverde_rua1
2024-04-22,55,rioverde_rua1
2024-04-23,79,rioverde_rua1
2024-04-24,11,rioverde_rua1
2024-04-25,28,rioverde_rua1
2024-04-26,39,rioverde_rua1
2024-04-27,34,rioverde_rua1
2024-04-28,13,rioverde_rua1
2024-04-29,22,rioverde_rua1
2024-04-30,86,rioverde_rua1
