date,value,id
2024-04-01,11,rioverde_rua20
2024-04-02,4,rioverde_rua20
2024-04-03,19,rioverde_rua20
2024-04-04,14,rioverde_rua20
2024-04-05,17,rioverde_rua20
2024-04-06,6,rioverde_rua20
2024-04-07,13,rioverde_rua20
2024-04-08,14,rioverde_rua20
2024-04-09,11,rioverde_rua20
2024-04-10,11,rioverde_rua20
2024-04-11,11,rioverde_rua20
2024-04-12,15,rioverde_rua20
2024-04-13,6,rioverde_rua20
2024-04-14,19,rioverde_rua20
2024-04-15,17,rioverde_rua20
2024-04-16,11,rioverde_rua20
2024-04-17,19,rioverde_rua20
2024-04-18,0,rioverde_rua20
2024-04-19,1,rioverde_rua20
2024-04-20,11,rioverde_rua20
2024-04-21,1,rioverde_rua20
2024-04-22,9,rioverde_rua20
2024-04-23,18,rioverde_rua20
2024-04-24,7,rioverde_rua20
2024-04-25,19,rioverde_rua20
2024-04-26,15,rioverde_rua20
2024-04-27,7,rioverde_rua20
2024-04-28,17,rioverde_rua20
2024-04-29,10,rioverde_rua20
2024-04-30,0,rioverde_rua20
