date,value,id
2024-04-01,2,rioverde_avenida1
2024-04-02,3,rioverde_avenida1
2024-04-03,6,rioverde_avenida1
2024-04-04,19,rioverde_avenida1
2024-04-05,24,rioverde_avenida1
2024-04-06,39,rioverde_avenida1
2024-04-07,45,rioverde_avenida1
2024-04-08,52,rioverde_avenida1
2024-04-09,69,rioverde_avenida1
2024-04-10,71,rioverde_avenida1
2024-04-11,83,rioverde_avenida1
2024-04-12,96,rioverde_avenida1
2024-04-13,83,rioverde_avenida1
2024-04-14,45,rioverde_avenida1
2024-04-15,33,rioverde_avenida1
2024-04-16,24,rioverde_avenida1
2024-04-17,13,rioverde_avenida1
2024-04-18,21,rioverde_avenida1
2024-04-19,31,rioverde_avenida1
2024-04-20,45,rioverde_avenida1
2024-04-21,50,rioverde_avenida1
2024-04-22,55,rioverde_avenida1
2024-04-23,79,rioverde_avenida1
2024-04-24,41,rioverde_avenida1
2024-04-25,28,rioverde_avenida1
2024-04-26,39,rioverde_avenida1
2024-04-27,34,rioverde_avenida1
2024-04-28,13,rioverde_avenida1
2024-04-29,22,rioverde_avenida1
2024-04-30,86,rioverde_avenida1
